Postcodes;Nieuwbouw|2018;Nieuwbouw|2019;Nieuwbouw|2020;Nieuwbouw|2021
1315 Centrum-Stad;40.0;;;
1318 Verzetswijk;;40.0;;1.0
1319 Almere;103.0;131.0;9.0;
1325 Filmwijk;48.0;;;
1328 Almere;;44.0;;
1331 De vaart;1.0;;;2.0
1334 Centrum Haven/Buiten;194.0;62.0;76.0;89.0
1335 Seizoenenbuurt;37.0;69.0;;114.0
1336 Almere;100.0;35.0;173.0;113.0
1339 Regenboogbuurt;;41.0;;21.0
1341 Landelijk gebied Almere-oost;179.0;211.0;145.0;203.0
1343 Hout;9.0;12.0;36.0;47.0
1349 Landelijk gebied Almere-oost;148.0;211.0;266.0;248.0
1351 Steiger/Gouwen/Paal;;24.0;;
1352 De Gouwen/de Paal;11.0;5.0;3.0;6.0
1353 De Wierden;;59.0;40.0;22.0
1355 De Marken;;52.0;;20.0
1358 Windhoek/Cirkelbos;2.0;6.0;2.0;6.0
1359 De Velden;3.0;56.0;3.0;76.0
1361 Almere;222.0;153.0;451.0;387.0
1362 Almere;1.0;;;
1363 Almere;547.0;442.0;131.0;93.0
