Wijk,Jaar,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Ratio_0_15,Ratio_15_25
WK003401,2018,22790,3975,2420,0.1744186046511628,0.1061869240895129
WK003401,2019,22875,3945,2415,0.1724590163934426,0.1055737704918032
WK003401,2020,23275,4005,2485,0.1720730397422126,0.106766917293233
WK003401,2021,23530,4180,2465,0.1776455588610284,0.1047598810029749
WK003401,2022,1635,175,150,,
WK003401,2023,1740,190,160,,
WK003401,2024,1765,195,135,,
WK003401,2025,1810,220,160,,
WK003402,2018,108800,19915,14890,0.1830422794117647,0.1368566176470588
WK003402,2019,109260,19505,14975,0.1785191286838733,0.1370583928244554
WK003402,2020,109805,19275,14890,0.1755384545330358,0.1356040253176084
WK003402,2021,109415,18890,14625,0.1726454325275327,0.1336654023671343
WK003402,2022,2860,490,305,,
WK003402,2023,2860,495,305,,
WK003402,2024,2880,485,315,,
WK003402,2025,2890,485,315,,
WK003403,2018,56315,11190,7730,0.1987037201456095,0.1372636064991565
WK003403,2019,56760,10955,7895,0.1930056377730796,0.1390944326990838
WK003403,2020,56970,10700,7955,0.1878181499034579,0.1396348955590661
WK003403,2021,56985,10480,7780,0.1839080459770115,0.1365271562691936
WK003403,2022,2460,450,300,,
WK003403,2023,2510,465,300,,
WK003403,2024,2495,425,315,,
WK003403,2025,2500,445,305,,
WK003404,2018,13430,3375,1220,0.2513030528667163,0.0908413998510796
WK003404,2019,15365,3900,1390,0.2538236251220306,0.0904653433127237
WK003404,2020,16760,4285,1465,0.2556682577565632,0.0874105011933174
WK003404,2021,18095,4585,1600,0.253384912959381,0.0884222160817905
WK003404,2022,2230,380,195,,
WK003404,2023,2220,380,205,,
WK003404,2024,2200,365,210,,
WK003404,2025,2220,370,190,,
WK003405,2018,2655,465,235,0.1751412429378531,0.0885122410546139
WK003405,2019,3645,760,315,0.2085048010973937,0.0864197530864197
WK003405,2020,5060,1155,435,0.2282608695652173,0.0859683794466403
WK003405,2021,6660,1570,555,0.2357357357357357,0.0833333333333333
WK003405,2022,2285,380,230,,
WK003405,2023,2310,395,235,,
WK003405,2024,2310,405,230,,
WK003405,2025,2365,425,250,,
WK003406,2022,3000,545,330,,
WK003406,2023,2975,540,325,,
WK003406,2024,2995,555,335,,
WK003406,2025,2955,530,345,,
WK003407,2022,2720,450,275,,
WK003407,2023,2710,445,270,,
WK003407,2024,2720,450,285,,
WK003407,2025,2760,460,290,,
WK003408,2022,3605,675,365,,
WK003408,2023,3615,690,350,,
WK003408,2024,3655,705,350,,
WK003408,2025,3700,695,375,,
WK003409,2022,1545,270,180,,
WK003409,2023,1535,260,175,,
WK003409,2024,1515,255,170,,
WK003409,2025,1495,240,160,,
WK003410,2022,500,75,80,,
WK003410,2023,525,75,90,,
WK003410,2024,630,95,100,,
WK003410,2025,715,115,110,,
WK003411,2022,890,280,95,,
WK003411,2023,1050,320,120,,
WK003411,2024,1145,340,135,,
