Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9
2018-01-01,WK003401  ,22790,3975,2420
2019-01-01,WK003401  ,22875,3945,2415
2020-01-01,WK003401  ,23275,4005,2485
2021-01-01,WK003401  ,23530,4180,2465
2022-01-01,WK003401  ,1635,175,150
2023-01-01,WK003401  ,1740,190,160
2024-01-01,WK003401  ,1765,195,135
2025-01-01,WK003401  ,1810,220,160
2018-01-01,WK003402  ,108800,19915,14890
2019-01-01,WK003402  ,109260,19505,14975
2020-01-01,WK003402  ,109805,19275,14890
2021-01-01,WK003402  ,109415,18890,14625
2022-01-01,WK003402  ,2860,490,305
2023-01-01,WK003402  ,2860,495,305
2024-01-01,WK003402  ,2880,485,315
2025-01-01,WK003402  ,2890,485,315
2018-01-01,WK003403  ,56315,11190,7730
2019-01-01,WK003403  ,56760,10955,7895
2020-01-01,WK003403  ,56970,10700,7955
2021-01-01,WK003403  ,56985,10480,7780
2022-01-01,WK003403  ,2460,450,300
2023-01-01,WK003403  ,2510,465,300
2024-01-01,WK003403  ,2495,425,315
2025-01-01,WK003403  ,2500,445,305
2018-01-01,WK003404  ,13430,3375,1220
2019-01-01,WK003404  ,15365,3900,1390
2020-01-01,WK003404  ,16760,4285,1465
2021-01-01,WK003404  ,18095,4585,1600
2022-01-01,WK003404  ,2230,380,195
2023-01-01,WK003404  ,2220,380,205
2024-01-01,WK003404  ,2200,365,210
2025-01-01,WK003404  ,2220,370,190
2018-01-01,WK003405  ,2655,465,235
2019-01-01,WK003405  ,3645,760,315
2020-01-01,WK003405  ,5060,1155,435
2021-01-01,WK003405  ,6660,1570,555
2022-01-01,WK003405  ,2285,380,230
2023-01-01,WK003405  ,2310,395,235
2024-01-01,WK003405  ,2310,405,230
2025-01-01,WK003405  ,2365,425,250
2022-01-01,WK003406  ,3000,545,330
2023-01-01,WK003406  ,2975,540,325
2024-01-01,WK003406  ,2995,555,335
2025-01-01,WK003406  ,2955,530,345
2022-01-01,WK003407  ,2720,450,275
2023-01-01,WK003407  ,2710,445,270
2024-01-01,WK003407  ,2720,450,285
2025-01-01,WK003407  ,2760,460,290
2022-01-01,WK003408  ,3605,675,365
2023-01-01,WK003408  ,3615,690,350
2024-01-01,WK003408  ,3655,705,350
2025-01-01,WK003408  ,3700,695,375
2022-01-01,WK003409  ,1545,270,180
2023-01-01,WK003409  ,1535,260,175
2024-01-01,WK003409  ,1515,255,170
2025-01-01,WK003409  ,1495,240,160
2022-01-01,WK003410  ,500,75,80
2023-01-01,WK003410  ,525,75,90
2024-01-01,WK003410  ,630,95,100
2025-01-01,WK003410  ,715,115,110
2022-01-01,WK003411  ,890,280,95
2023-01-01,WK003411  ,1050,320,120
2024-01-01,WK003411  ,1145,340,135
2025-01-01,WK003411  ,1160,340,140
2022-01-01,WK003414  ,80,10,5
2023-01-01,WK003414  ,80,5,15
2024-01-01,WK003414  ,70,5,10
2025-01-01,WK003414  ,75,10,5
2022-01-01,WK003417  ,4825,555,480
2023-01-01,WK003417  ,5810,650,695
2024-01-01,WK003417  ,6280,665,840
2025-01-01,WK003417  ,6290,710,765
2022-01-01,WK003418  ,10365,1570,1570
2023-01-01,WK003418  ,10450,1605,1530
2024-01-01,WK003418  ,10425,1580,1475
2025-01-01,WK003418  ,10360,1520,1455
2022-01-01,WK003419  ,5670,990,880
2023-01-01,WK003419  ,5660,965,875
2024-01-01,WK003419  ,5640,975,850
2025-01-01,WK003419  ,5560,925,845
2022-01-01,WK003420  ,5480,850,805
2023-01-01,WK003420  ,5475,855,770
2024-01-01,WK003420  ,5460,855,740
2025-01-01,WK003420  ,5400,835,710
