Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,Ratio_0_15,Ratio_15_25
2018-01-01,WK003401,22790,3975,2420,2018,0.1744186046511628,0.10618692408951294
2019-01-01,WK003401,22875,3945,2415,2019,0.17245901639344263,0.10557377049180328
2020-01-01,WK003401,23275,4005,2485,2020,0.17207303974221266,0.10676691729323308
2021-01-01,WK003401,23530,4180,2465,2021,0.17764555886102848,0.10475988100297493
2018-01-01,WK003402,108800,19915,14890,2018,0.1830422794117647,0.13685661764705884
2019-01-01,WK003402,109260,19505,14975,2019,0.17851912868387332,0.13705839282445542
2020-01-01,WK003402,109805,19275,14890,2020,0.17553845453303585,0.13560402531760848
2021-01-01,WK003402,109415,18890,14625,2021,0.17264543252753278,0.1336654023671343
2018-01-01,WK003403,56315,11190,7730,2018,0.19870372014560952,0.13726360649915653
2019-01-01,WK003403,56760,10955,7895,2019,0.19300563777307964,0.13909443269908386
2020-01-01,WK003403,56970,10700,7955,2020,0.18781814990345796,0.13963489555906616
2021-01-01,WK003403,56985,10480,7780,2021,0.1839080459770115,0.13652715626919365
2018-01-01,WK003404,13430,3375,1220,2018,0.2513030528667163,0.09084139985107967
2019-01-01,WK003404,15365,3900,1390,2019,0.2538236251220306,0.09046534331272373
2020-01-01,WK003404,16760,4285,1465,2020,0.25566825775656327,0.08741050119331742
2021-01-01,WK003404,18095,4585,1600,2021,0.25338491295938104,0.08842221608179054
2018-01-01,WK003405,2655,465,235,2018,0.1751412429378531,0.08851224105461393
2019-01-01,WK003405,3645,760,315,2019,0.2085048010973937,0.08641975308641975
2020-01-01,WK003405,5060,1155,435,2020,0.22826086956521738,0.08596837944664032
2021-01-01,WK003405,6660,1570,555,2021,0.23573573573573572,0.08333333333333333
